entity1,entity2,similarity
ecommerce store performance,holistic understanding ecommerce store performance,0.9583905842973091
existing wholesale,find existing wholesale,0.9583882727558573
comprehensive sale information,detailed sale information,0.9581138582976931
warehouse,warehouse company,0.9580353347208521
product wholesale order,selected product wholesale order,0.9580318149366047
existing domain,new domain,0.9576125916160587
fast intuitive user interface,intuitive user interface,0.9574559415765722
create email template,email template,0.9573535473112255
photoset,photosets,0.9565831729084078
sale person historical data,sale person historical data option,0.9559640141359036
detail user,user detail,0.9559352670095503
view list inward entry,view list outward entry,0.9549824639581896
new product availability,product availability,0.9544850879732232
delivery data,new delivery data,0.9542786839957759
wholesale delivery quantity,wholesale quantity,0.9542321866499128
picking priority,priority,0.953962120984627
specific wholesale transaction,wholesale transaction,0.952944822110985
odoo,odoo po,0.9525870787442671
detailed sale information,sale information,0.9517466845642506
updated quantity stock detail,updated stock quantity,0.9517443377621002
existing wholesale,wholesale,0.9516183465569341
planning transfer warehouse location,transfer warehouse location,0.951470432430413
custom quotation template,reusing custom quotation template,0.9513546759888858
accounting,accounting management,0.9511637311353364
specific period time,specified period,0.9505854041539274
entered price,entered price value,0.9498034357533492
layout,layout style,0.9496097874304941
online web store,web store,0.9496033216966977
best sale person,best sale person option,0.9492673995922424
ideal storage location,specific storage location,0.9492636344975445
formatted ready print shipping label,shipping information ready print label,0.9488710424892517
new payment data,payment data,0.9484956743990328
warehouse,warehouse location,0.9482584739497097
send rfqs email directly app,sending rfqs email,0.9474925173585313
appropriate user category,user category,0.9471883213703833
stock number automatically updated,stock number updated,0.9470514517796933
vendor answer compare proposition,vendor answer process compare proposition,0.947030402397132
customer detail,customer information,0.9469217136715797
desired shipment date,shipment date,0.9468750969331137
online sale,online sale occurring,0.9466727616209718
detail wholesale,wholesale,0.9465441994370288
builtin search,builtin search feature,0.946418681566693
online inventory,system online inventory,0.9463819471705442
ideal storage location,storage location,0.9463683374697516
composite product,one composite product,0.9462536937099475
new payment detail,payment detail,0.946146498261656
arrange delayed delivery,delayed delivery,0.9461319648256605
procurement rule,set procurement rule,0.9460467805953369
detail return,detail returned item,0.9458649095424942
one point sale,point sale,0.9457835890456823
new customer,new potential customer,0.9453955640710454
backend catalogue,backend catalogue system,0.9452569246472424
discount,discounted price,0.94522914235336
existing retail delivery,retail delivery,0.9450582844005209
sale manager,sale person sale manager,0.9449068054327903
new retail record,retail record,0.9448866611578283
different point sale,point sale,0.9448658326330819
local po,local po intuit,0.9438764905469696
client,client customer,0.9437827218292354
new wholesale entry,wholesale entry,0.9435073753122405
product stock,stock,0.9427287572339124
creating inventory local po,local po inventory,0.9426950149817692
barcode,valid barcode,0.9424886337147391
customer payment information,payment information,0.9421031822920893
list valid godown id,valid godown id,0.9417981693637596
online payment,order online payment,0.9416557344406706
email address,email contact address,0.9414955679221162
marketing module,several marketing module,0.9413649164965221
existing retail,new retail,0.9413127503768548
sale manager login session,sale manager session,0.9409587528153592
dynamic report,generation dynamic report,0.9407267928935276
inventory,product inventory,0.9406595070563031
register,registration,0.9405446550473667
wholesale delivery,wholesale,0.9396916461907221
client local po inventory,local po inventory,0.939689926981851
formatted ready print shipping label,shipping label printing,0.9394712435999
accurate data entry,id accurate data entry,0.9391014056027691
better overview sale activity,overview sale,0.9388440558482817
wholesale delivery,wholesale delivery quantity,0.9387772532808488
specific stage,stage,0.9387282472200194
shipping information ready print label,shipping label printing,0.9384813382284084
admin,admins,0.9383154695752696
data database,database,0.9380030008526311
customer registration,customer registration form,0.9378915306455918
certain product,given product,0.9377616697066203
add custom field,custom field,0.9375888728025223
printable barcode order,printable barcode order customized return instruction,0.9375496421373202
every page crawled,page crawled,0.9374551006939598
appropriate category name,category name,0.9371616934113085
barcodes,multiple barcodes,0.9370957753241538
sending rfqs,sending rfqs email,0.9370526061142126
specific time period,specific time period date,0.9370256924749214
zoho commerce,zoho commerce store,0.9368750474158306
desired time period date,specific time period date,0.9368663931576398
stock statement,stock statement report,0.9363325481344498
product ideal storage location,ideal storage location,0.9363100348460875
required detail,required information,0.9362122500780192
choice,choose,0.9359662511115323
barcode scanner,barcode,0.9357690072806442
access key,using provided access key,0.9354931091805363
stock number,stock number updated,0.9353414427384297
list least sold product total revenue,list sold product total revenue,0.9353246566668796
delivery method,delivery process,0.9349338583455844
menu option,show menu option,0.9347355778327638
product weight,weight,0.9346070153690214
warehouse transfer,warehouse transfer document,0.9341771152857572
adding description stage,description stage,0.9340245674084284
add variation,variation,0.9339634649402532
compute shipping cost,compute shipping cost automatically,0.933729629765948
price product sold,sold product,0.9334586794262323
generation inwards detail report,generation outwards detail report,0.9333139905914195
updated stock amount product,updated stock quantity,0.9332443432251017
customer option,specific customer option,0.9331708688653928
design custom quotation template,reusing custom quotation template,0.933032204261413
embed price weight loyalty program,price weight loyalty program,0.9329793896360598
parameter,various parameter,0.9327475829474468
customer name customer number,customer number,0.9327442934570338
cash register adjustment,monitor cash register adjustment,0.9327264790422612
discount rate,discount rate product price,0.9326252982317711
online inventory,online inventory database,0.932046584672285
personal user account,user account,0.9320105126402733
local customer inventory,local inventory,0.9318892953151502
price product,price product sold,0.9318450032957778
email,email address,0.9318097693908225
crm,crm go,0.9314584458240452
detailed product information,product detail,0.9313927250314782
inwards entry,outward entry,0.9313437985815507
coupon,different coupon,0.9311487355546096
online web store,web store store,0.9311084364214427
wholesale order,wholesale,0.9307977430486831
coupon,create coupon,0.9305651954027044
product quantity stock,product stock,0.9304401861127347
delivery detail,detail delivery,0.930402449482185
selected product wholesale order,wholesale order,0.9302550412989611
existing retail transaction,retail transaction,0.9301434487249929
price list,use pricelists,0.9291780245924646
existing retail,product new retail,0.9290686986294352
registration,registration process,0.9290592911479572
existing customer,find existing customer,0.9289838983137972
detailed report payment listing contract sale specified period,detailed report payment listing wholesale transaction specified period,0.9288764420356593
creating inventory local po,local po inventory online inventory,0.9286464641302254
discount rate,discounted price,0.9284348627593975
retail transaction,selected retail transaction,0.9284261173239713
best sale person option,sale person option,0.9283389824813542
new quantity stock,product quantity stock,0.9282297398740593
send rfqs,sending rfqs email,0.928150213565428
unique wholesale number,wholesale number,0.9279488742825387
incoterms invoice,invoice,0.9278318129568347
new quantity stock,stock new quantity stock number,0.9278263320787015
password,username password,0.9277151215086723
less sold product,less sold product option,0.9275636260514193
minimum wholesale quantity,wholesale quantity,0.9272796002072105
existing contract,new contract,0.9272463332067089
current price detail,current price detail existing product,0.9270690338642946
amount,total amount,0.9268995232160178
invoice,invoicing,0.9267744105793324
comprehensive sale information,sale information,0.9266866036472174
detailed product information,product information,0.9266669414299169
client local po inventory,local po inventory online inventory,0.9265476431387181
current inventory,current inventory level,0.9258691560321308
staff,staff name,0.9257141812234302
current promotion,promotion,0.9255371949968395
payment date,payment due date,0.9255177381417972
effort,effortless,0.9254999227654525
communication customer opportunity,customer opportunity,0.925459090387166
email,mail,0.9253689573461427
total largest revenue,total largest revenue option,0.9251840824112882
different parameter,parameter,0.9251740383081277
available stock,stock,0.925142316492997
identify customer,specific customer,0.9250682059499307
customer name access key,customer number access key,0.9250667126312138
sale person,sale person sale manager,0.924951546987851
assigned staff,staff,0.9248799208920513
inventory either onlineoffline system,system online inventory,0.9245374227882416
generated report,report generation,0.9244322767760034
drag drop,via draganddrop,0.9243231636610555
personal data,required personal data,0.9243071897530752
warehouse operation,warehouse,0.9242748687633722
search product,searched product,0.9240983391325536
sale overview,detailed sale information,0.9236800516265787
warehouse action,warehouse operation,0.9236202468530496
certain product,specified product,0.9231783413549957
online store,online web store,0.9231300327234787
multiple product,single product,0.923095800371956
additional product,additional product extra option,0.9230762980575369
user login status,user status,0.9230236525598201
transfer warehouse location,warehouse transfer,0.9229688732956742
comprehensive report,detailed report,0.9228405724454202
exact wholesale number,unique wholesale number,0.9227889170224096
individual product,multiple product,0.9226603897745688
local inventory,local po inventory online inventory,0.922639842836976
manage pipeline,pipeline,0.9226011355777589
fast intuitive user interface,fast user interface,0.9225669609891868
add product variant,product variant,0.9221046443106542
contract sale,contract sale delivery,0.9220338170620963
purchase order,purchase order easily,0.9220022009639075
customer,customer product,0.9218599928278541
add product variant,customize product variant,0.9217452821275134
cash check credit card payment method,cash payment method,0.9217405199808726
order amount,order quantity,0.9217238437055384
contract creation date,contract date,0.9215581780818605
inventory,inventory management,0.92151572991387
id card number,id card number unique,0.9215146878531568
payment method,separate payment method,0.9213986721380196
customer payment,customer payment information,0.921328061600141
discount,discount rate,0.9211799681373782
new stock amount,new quantity stock,0.9211579711902371
barcode scanner,barcodes,0.9211113595101006
given product,specified product,0.9210477339505947
product detail,product information,0.920916844445884
store owned,store owner,0.9207925356741969
relevant user detail,user detail,0.9207558732793295
warehouse company,warehouse location,0.9207523638192208
adding new employee,new employee,0.9207154216275206
scrap,scrap product,0.9207079209591763
specified period,specific time period,0.9206719524055791
detail wholesale,existing wholesale,0.9205967357490299
existing retail delivery,retail delivery product,0.9204671505529642
information sale,sale information,0.9202836309919429
signature ndas contract pdf document,solution ndas contract pdf document,0.9201007227473157
return condition assessment refurbishing restocking disposal,set predefined route return condition assessment refurbishing restocking disposal,0.9200151377216639
different unit measure,multiple unit measure,0.9198989919513578
customer name,customer name customer number,0.9195172257893763
business customer,customer,0.9194619164386462
building dashboard,dashboard,0.9194592402881432
new wholesale entry,existing wholesale,0.9192626247611444
finding product,given product,0.9192431986494026
printed receipt,receipt,0.9192362815582902
exact position,position,0.919194186346455
business opportunity,opportunity,0.9191465889419638
existing product,new product,0.9190193429245146
stock inventory,product quantity stock,0.9189672514990384
inventory either onlineoffline system,online inventory,0.9188884673479059
coupon detail,coupon,0.9187971745205799
current price detail existing product,current price detail found,0.9187770982702319
barcode nomenclature,barcode,0.9187735692304957
retrieved discount rate,discount rate,0.9184792850722554
delivery date,delivery due date,0.9184327105287298
price detail,current price detail,0.9182871353232415
finding additional product,finding product,0.9182469275172704
google search,search,0.9181993968268607
barcode nomenclature,name barcode description,0.9180047136850003
cash payment method,payment method,0.9180018012534701
account,user account,0.9177918024723566
entered username password,username password,0.9177515495602903
delivery,delivery process,0.9177401314843798
creating inventory mysql database,reading inventory mysql database,0.9177303150863341
different point sale,one point sale,0.9174264084761422
best sale person,sale person,0.91729262059134
sale person information,sale person,0.917230867128423
admin,administrator,0.9171966126504822
drag drop,drag drop interface,0.9170430524574527
partial wholesale number,exact wholesale number,0.9168296859264538
ecommerce business,ecommerce store,0.9166039409410287
current stock status product,stock status,0.9165954936261145
rfqs,send rfqs,0.9165767861665517
online purchase,online sale,0.9163562474170923
low stock,stock,0.916321216989118
customer form,customer registration form,0.9161350372448774
high priority feature,high priority requirement,0.9158870890964703
dashboard,dedicated dashboard,0.915869189347334
order payment,payment,0.9157326016754991
generation stock statement report,stock statement report,0.9155828969347583
probability success,probability success according several criterion,0.9153079843046508
customer name,different customer name,0.9151950137012552
specified date,specified date range,0.9151618251462126
administrator,admins,0.9151030085701293
generation dynamic report,report generation,0.9149978415915784
adding multiple product,multiple product,0.914729245869499
shipment,shipping,0.9145368803511905
necessary information,required information,0.9144162292896809
wholesale transaction,wholesale delivery,0.9143980274435644
stock inventory,inventory,0.9142651214875399
quantity,specific quantity,0.913950203728622
new payment detail,payment information,0.9138623775583473
inventory update,online inventory updated,0.9137280837364232
coupon id,coupon,0.9137017843505537
report returned product,return report,0.9136025022721408
valid barcode,barcodes,0.9134757677215296
product sold,price product sold,0.913394908992081
supplier,supplier detail,0.9133605591358873
current inventory,inventory,0.913255255637993
find existing wholesale,wholesale,0.9132225337838722
coupon id,coupon id validity,0.9131066918787424
grid,grid matrix,0.9130303629944068
delivery,delivery order,0.9128978836119823
sale manager logged system,sale person logged system,0.912752523298341
item stock,product stock,0.9125230638017561
correct customer,customer,0.912452822703985
godown id,valid godown id,0.9123345694658169
warehouse document,warehouse transfer document,0.9122842124749535
item stock,stock,0.9121937536598665
customer registration,registration,0.9121880840978411
find existing product,locate product,0.912097022976079
discount rate product price,discounted price,0.9120871662762408
retail delivery quantity,wholesale delivery quantity,0.9120852546879923
reading inventory local po,local po inventory,0.9120844536860087
sale manager logged system,sale manager logged system allowing access,0.9120555298116051
coupon detail,create coupon,0.91187902546827
potential customer,specific customer,0.9117823178207062
one sold product,sold product,0.9116884402658709
delivery address,shipping address,0.91168403518427
accurate delivery time,delivery time,0.9116249214143554
sync,user sync,0.9114687130023358
new stock amount,updated stock amount product,0.91136458637009
sale manager,user sale manager,0.9112904555744656
contract number,full contract number,0.9111939031435526
defined barcode standard,valid barcode,0.9111556115919128
supplier,supplier reference,0.9110640162663075
detailed list wholesale delivery,wholesale delivery,0.9110597628377453
single dashboard,dashboard,0.91094893701299
wholesale entry,existing wholesale,0.9109389993469927
feedback data,feedback data stored accurately,0.9106762724784612
report,reporting,0.9106744436808758
pc tablet,tablet,0.9105790240061142
reason scrap,scrap,0.910278568953369
incoming order,incoming shipment,0.9101748414601942
lead,new lead,0.9100956828011437
delivery detail,delivery report,0.9099443172298511
sale per sale team,sale team,0.9097976816473815
user sale manager,sale person sale manager,0.9095885885479003
delivery receipt number,input delivery receipt number,0.9094708203296733
delivery time,delivery,0.9093881963279472
date date value,user input date date value,0.90931404441511
category,different category,0.9092978945532038
associated customer order,customer order,0.9092880192089412
ecommerce store owner,store owner,0.9092764417246652
password,secure password,0.9092235208170045
defined barcode standard,barcode,0.9089778858378212
sale manager logged system allowing access functionality,sale manager logged system,0.9089111826348755
employee,employee name,0.9087574764429633
batch,batch item,0.9086536643883332
sale person historical data,sale person information,0.9086244226398094
inventory amount,inventory,0.9085039185300832
delivery purpose,delivery process,0.9084943040344605
customer supplier account,customer supplier account tax,0.9084771817732109
sale amount,sale price,0.9082086331319521
high priority requirement,priority,0.9080046270978686
based relevant activity,relevant activity,0.9079138786818464
compelling photosets,photosets,0.9078293168573552
item,item involved,0.9078206274211467
product already stock,product stock,0.9076834010170525
individual product,single product,0.9076669391684551
dedicated dashboard,building dashboard,0.9076365336118157
accounting,accounting category,0.9075819812187966
detail specific employee,relevant employee detail,0.9075449203012701
promote sell product,sell product,0.9072346131482327
detailed list wholesale delivery,detail wholesale,0.9071418136287028
payment sum,total payment made,0.9070901839932967
mobile phone,phone,0.9070013154679611
generate shipping label,shipping label printing,0.9069038876907513
total weight,weight,0.9068902959266671
confirmed sale order,sale order,0.9066279556067418
necessary product information,product information,0.9066231587605305
supplier detail,supplier reference,0.9064449847127865
picking priority,high priority requirement,0.9061961008422874
contract,new contract,0.9061785500738755
address,address number,0.9061607036924209
customer list report,produce detailed report customer information,0.9059194754949549
order quantity,ordered delivered quantity,0.9057295534792946
detail existing product,existing product,0.9055099820623536
ensure order fulfilled time every time,order fulfilled time,0.9054998225739512
customer total purchase,total amount purchased,0.9054119963002656
account system,valid account system,0.9053597631783064
single dashboard,dedicated dashboard,0.9052896057675146
stock new quantity stock number,stock number,0.9051332934605558
updating inventory local po,creating inventory local po,0.9048843545765333
sale,sell,0.9047828965730507
purchase order,sale order,0.9046891995842385
locate product,finding product,0.9046129262927893
product inventory,stock inventory,0.9045792831333039
minimum quantity per supplier,minimum wholesale quantity,0.9045171077075782
discount based certain percentage product price,percentagebased discount,0.9043436944581547
sold product option,sold product,0.904119935248813
different coupon,create coupon,0.9039607055447998
customer detail,detailed report customer information,0.9036988018198711
customer database,new personal data customer database,0.9035648222914915
sale overview,sale information,0.9035586664720257
batch,batch number,0.9035071498664549
category,category name,0.9032657705878576
delivery date,shipment date,0.9032466895504508
retail,retail delivery,0.9031815136526948
manage storage stock replenishment,stock replenishment,0.9029814391532626
sku,sku detail,0.9029436605003333
rfqs,sending rfqs,0.9029113283457448
product addition process,successful product addition,0.9028921849230416
product ideal storage location,specific storage location,0.9026399579772935
payment,payment method,0.9024824959600144
supplier user,supplier,0.9024488992029511
warehouse action,warehouse,0.9023596240108305
accounting issue,accounting,0.9022491181217083
necessary information,necessary information correctly filled,0.9019121393743545
allowing registration proceed,registration,0.9018473055178782
quantity,quantity available,0.9017328188447016
planning transfer warehouse location,warehouse transfer,0.9016786811807549
find existing product,finding product,0.9016652736185986
specification,specification set,0.9015974308166514
right sale team sale person,sale person,0.9014860033247907
identify customer,customer name,0.9014270121779592
sale activity,sale functionality,0.9014129839596368
delivery method,delivery purpose,0.9012362281584572
quickly find product,locate product,0.9012344601863903
confirmation message,confirmation message successful addition,0.9012278870468377
one system,system,0.9011543665593453
less sold product option,sold product option,0.901073647433648
shipping,shipping information,0.9010270130705889
key opportunity,opportunity,0.9009638946691539
specification field,specification set,0.9009625755554778
name barcode description,barcode,0.9009559382468142
server,system server,0.9009115788100484
high priority feature,picking priority,0.900887420503202
color,different color,0.9006261640834337
multiple company,single company,0.9005151421577648
godown,godown id,0.9002965602948665
associated customer name,customer name,0.9002709492168406
customer list report,detailed report customer information,0.9002623631228162
total amount,total amount purchased,0.9002389671251916
manage recurring revenue contract,recurring revenue,0.9001558877477086
generate shipping label,shipping information ready print label,0.899896073640245
calculate product weight,product weight,0.8996528905610981
information,pertinent information,0.8995852760486189
return transaction,returned product transaction,0.8994272464885407
build dashboard,dashboard,0.899377911075371
retail,retail detail,0.8993352752468842
specification,specification field,0.8992764400699383
input form,relevant input form,0.8991739558325429
effortless,minimal effort,0.8989424444370411
detailed list contract sale delivery,contract sale delivery,0.8988602519247496
inward detail entered user,normal user enter inward detail specific godown good received,0.8987150677025769
detailed information,detailed report,0.898543841352324
updating inventory local po,local po inventory,0.8985138924698775
customer product,product existing customer,0.8985004527813873
electronic scale integration,integrated scale,0.8983202552272023
browse delivery information related wholesale,wholesale delivery,0.8983167444859652
add specification,specification,0.8981244384557983
item received,received quantity,0.8979385326727458
alphabetically sorted list customer,alphabetically sorted list sale person,0.8978290442130414
business opportunity,customer opportunity,0.8977676973319582
privilege,privilege admin,0.8976764554759734
updated quantity stock detail,new quantity stock,0.8976283650767791
inventory update,updated stock quantity,0.8975308325397799
product option,sold product option,0.8975214045368795
access detailed customer information,customer information,0.8973841022960032
based business need,business need,0.8973290934769904
contract delivery quantity,retail delivery quantity,0.89731766118808
reading inventory local po,local po inventory online inventory,0.8971671598878779
shipping information,shipping process,0.8969489413913267
detailed list contract sale delivery,browse delivery information related contract sale,0.8968179732906432
delivery order,ordered delivered quantity,0.8966028577681526
access relevant input form,input form,0.8964400609143787
automatic reminder,reminder email,0.8964122268995633
add reference used supplier item,reference used supplier,0.8961882617473862
inventory action,inventory,0.8961250026720776
one sold product,product sold,0.8961073692964305
id card number,updated id card number unique,0.8960485505563824
specified date,specific time period date,0.896026996470539
online inventory database,system online inventory,0.8959953461484941
new payment data,new payment detail,0.8959580379376599
entire order,every order,0.8959365265455712
order,picking order,0.8958814040719447
use predefined dashboard,dashboard,0.8958654167569353
new customer,customer,0.8957715311690895
log,log call,0.895706107883703
rfqs supplier,rfqs,0.8956957790010749
subcontracting,subcontractor,0.8954732650525592
first name,last name,0.8954249719937124
contract,contract sale,0.8954148908098807
odoo,odoo esign,0.8953769693316562
zoho commerce,zoho commerce theme,0.8953565813387807
shipping address,shipping information,0.8952506496219431
identification wholesale delivery product,wholesale delivery,0.8952388935718281
product data,product information,0.895234817442356
conflict resulting online sale,online sale occurring,0.8951298388960327
unique stock number,stock number,0.8949899246976332
associated customer name,associated customer order,0.8949501619477698
use predefined dashboard,building dashboard,0.8949211019310204
specific customer option,specific customer,0.8948965430413195
quickly find product,finding product,0.8948615400629745
sale manager login session,sale manager logged system,0.8947578129481162
odoo esign,online quote odoo esign,0.8947278991503176
business customer,specific customer,0.8947005177173889
stock level,stock,0.8946628393923695
group,grouping,0.8945706780481824
online purchase,online store,0.8944804238338844
sale manager logged system allowing access,sale manager logged system allowing access employee registration functionality,0.8944585150778226
google image,image,0.8943816978924174
multiple attribute,multiple attribute variant,0.8942457421213611
corresponding product price,price product,0.8941969741806159
creating inventory mysql database,updating inventory mysql database,0.8941840606580223
existing customer,specific customer,0.8940323075659851
entry invalid nonexistent godown id,valid godown id,0.8939375092526596
configure multiple barcodes,barcodes,0.8938490415606739
product original price,price product,0.8937751741072091
every order,single order,0.8937323613764055
buyer,sale,0.8936496520582734
modern inventory management,inventory,0.8936380687020744
customize product variant,product variant,0.8936301079467419
payment sum,payment,0.8936181141011608
follow key opportunity,key opportunity,0.8932634142706175
realtime stock count,stock realtime,0.8932165478508036
quotation,quotation online,0.8931841183419819
best offer send purchase order easily,purchase order easily,0.8931461345625444
electronic signature,order electronic signature,0.8930798572638176
system menu,system menu still displayed,0.8930593932574543
sale transaction,retail transaction,0.8930252333526528
online payment,online purchase,0.892957595912631
new potential customer,product existing customer,0.8929564410136726
product name price,price product,0.8928909814647632
sale order invoice,invoice,0.8928492524540705
contract delivery product,contract sale delivery,0.8927398930265447
sale per sale team,sale per salesperson,0.8927312135004648
generate new lead,new lead,0.892532275876433
total every payment type,total payment made,0.8921984198546985
come system,system,0.8921818093603794
payment processing,payment method,0.8918868544964492
payment term,payment,0.8918070831380598
returned item,returned product,0.8917515729302685
adding multiple product,adding product final product added,0.8917114051938788
accurate reporting,reporting,0.8915942835062068
spam,website spam,0.8915468495618459
sale price,sale,0.891493579637878
effort,minimal effort,0.8913782052440615
available stock,product availability stock,0.8912656768694798
lead,source lead,0.8912068990840667
wholesale partial number,unique wholesale number,0.8911633976694728
click,one click,0.8910899816236324
domain,multiple domain,0.8910144078860023
local customer inventory,local po inventory online inventory,0.8909251765613396
menu item,menu option,0.8908607989276982
opportunity customer,communication customer opportunity,0.8907161508386335
email address phone number,email address,0.8906899858917513
incoterms directly invoice,invoice,0.8905539825693849
requirement,required information,0.8905313459272488
purchase app,sale app,0.8904428914026628
payment processing,payment,0.8903541551157643
lead source,lead,0.8903392755291546
customer information database,new personal data customer database,0.8903217639512766
order,single order,0.8901281922490614
address,address detail,0.8900465506727366
sale proceeding,sale transaction,0.8900226683734289
discount applied,discounted price,0.8899581229455287
total weight,product weight,0.8898445891466726
total price,total amount,0.8897779225890555
get warning,warning,0.8897470291739502
warehouse document,warehouse,0.8897258728045039
send rfqs email directly app,sending rfqs,0.8896788847825509
feedback,feedback data,0.8896654114336993
predefined vendor,vendor,0.8896118689160605
product description,product detail,0.8892212044335261
payment type,payment method,0.8892198606728924
right sale team sale person,sale team,0.8890796842180817
delayed delivery,delivery time,0.8889366620803003
additional product,finding additional product,0.8888691793595441
filter,filter condition,0.8888251904728958
print option,print request,0.8888145217341488
updated field,updated value,0.8887639994112977
temporary discount,discount,0.8887591697935977
stock status,stock update,0.8887089720170733
lead time,lead,0.8884753792464453
payment term,payment method,0.8884634849390352
entered username password,password,0.8884289197849018
monitor,monitor item,0.8884171104519895
potential customer,customer,0.8884080339049087
apply discount,discount,0.888173680206279
least one item stock,item stock,0.8881341523961831
little storage,storage need,0.8880345096438662
customer id,user input customer id,0.8879959074532107
odoo sale,odoo,0.8879828693873567
total amount cash register,total cash amount register pointofsale system,0.8879290007781739
allowing registration proceed,registration process,0.8878216167953312
existing contract,find existing contract,0.8877624058464036
add form,form,0.887687213374692
post,posted,0.8873282551051547
location contained product,locate product,0.8872843354569381
invoicing,incoterms invoice,0.8872068626181042
exact position within warehouse,warehouse location,0.8870722664781425
input,input form,0.8870673065960484
access detailed customer information,detailed report customer information,0.8869686610571547
domain,new domain,0.8869146747470102
different option,option,0.8868151809557808
accounting record,accounting,0.886774776943592
existing retail transaction,selected retail transaction,0.8866629783890915
sell,sell product,0.8866319891199821
customer supplier account,supplier user,0.8865714353422012
customer order,purchase order,0.8865529631233874
product data,product database,0.8865200412577219
privilege,privilege author,0.886326504419183
price,price product,0.8862999679054833
sale assistant,sale manager,0.8862874559655248
product name,product title,0.886285354229789
entire order,single order,0.886212445288407
stock purchase,stock,0.8860304090117384
image,picture,0.8860068518510069
accounting management,accounting category,0.8859054871285761
delivery data,input delivery data,0.8857191842797918
list sale person total revenue,list sold product total revenue,0.8856856418273533
admin entering inward detail,inward detail entered user,0.8856548600370724
vendor,vendor bill,0.885610547364955
report detailing retail delivery,retail delivery,0.8855816663541802
customizable,reoccurring customizations,0.8855359887322594
id returned item,returned item,0.8854059830645101
online product information,product information,0.8853152271263742
sale manager session,sale manager logged system,0.8851658177289077
quantity available,quantity location,0.8851435310082061
inventory shop section,inventory,0.8850156342343798
important opportunity task,opportunity,0.884962319662743
drag drop interface,via draganddrop,0.8849100684273025
right opportunity,opportunity,0.8848385057979282
cash,cash content,0.8847950277642326
separate payment method,split payment multiple party,0.8846072292066902
time period,specific time period,0.8845834938036179
contract date,new contract creation date,0.8845826961436966
select delivery identified retail,retail delivery product,0.8845720581490117
desired time period date,specific period time,0.8845705596376496
necessary product information,detailed product information,0.8844855420008522
updating inventory mysql database,inventory update,0.8843338827862856
discount based certain percentage product price,discount rate product price,0.8841931845701829
find existing customer,identify customer,0.8840501598356844
stock update,stock,0.8839829430988559
amount paid,total payment made,0.8839166053286576
online stock,stock,0.8838687069088136
advanced filter,filter,0.883857630850589
stock number automatically updated,stock number,0.8838067929998432
database,customer database,0.8837991955021226
transaction,transaction customer,0.8837388276083111
alphabetically sorted list product,alphabetically sorted list sale person,0.8836363315224945
update,updated information,0.8835773190785521
employee,list employee,0.8834804895271949
payment data,payment data contract sale,0.8834625849111963
sale effectiveness,sale functionality,0.8834581330311764
amount,amount paid,0.8834270848426314
quantity location,quantity,0.8833692244991669
stock number existing product,stock number,0.8832962217539604
price detail,current price detail found,0.8832862578376364
delivery report,delivery,0.883209203641091
address detail,address number,0.8831918763542146
existing retail data,existing retail,0.8831319032046987
updated contract,new contract,0.8830293327458304
cash register,cash register adjustment,0.8829797358919088
