id,feature,subject,predicate,object
606f169d-48af-4481-94a3-23d7a504adb8,Restaurant features Tips,USER:tipping,is customary in,USER:bars  
606f169d-48af-4481-94a3-23d7a504adb8,Restaurant features Tips,USER:tipping,is customary in,USER:restaurants  
7fa9b864-8b2e-4097-8210-2a5b7f72b1bf,Restaurant features Tips,CORE:Tip Product,can be created on the spot,CORE:payment  
7fa9b864-8b2e-4097-8210-2a5b7f72b1bf,Restaurant features Tips,CORE:Tip Product,enter a product’s name in the Tip Product field,CORE:payment  
7fa9b864-8b2e-4097-8210-2a5b7f72b1bf,Restaurant features Tips,CORE:Tip Product,click Create or press enter,CORE:payment  
7fa9b864-8b2e-4097-8210-2a5b7f72b1bf,Restaurant features Tips,CORE:Tip Product,is automatically configured to be used as a tip at the payment screen,CORE:payment  
05c2c9ad-7f09-4d7b-abed-74a9db737203,Pricing Features Discounts,CORE:POS system,enable,CORE:Add tip  
05c2c9ad-7f09-4d7b-abed-74a9db737203,Pricing Features Discounts,CORE:Add tip,generate,CORE:bill  
05c2c9ad-7f09-4d7b-abed-74a9db737203,Pricing Features Discounts,USER:customer,complete,CORE:bill  
05c2c9ad-7f09-4d7b-abed-74a9db737203,Pricing Features Discounts,USER:waiter,complete,CORE:bill  
05c2c9ad-7f09-4d7b-abed-74a9db737203,Pricing Features Discounts,USER:customer,choose,CORE:tip value  
0e4824d6-0721-4470-bb80-127a9fc906c9,Pricing Features Discounts,CORE:discounts,entice,USER:customers  
0e4824d6-0721-4470-bb80-127a9fc906c9,Pricing Features Discounts,CORE:discounts,increase,CORE:revenue  
0e4824d6-0721-4470-bb80-127a9fc906c9,Pricing Features Discounts,CORE:discounts,are,CORE:time-limited  
0e4824d6-0721-4470-bb80-127a9fc906c9,Pricing Features Discounts,CORE:discounts,are,CORE:seasonal  
0e4824d6-0721-4470-bb80-127a9fc906c9,Pricing Features Discounts,CORE:discounts,are,CORE:manually  
e4933c3f-25ab-4443-9394-3690aa5f6ce7,Pricing Features Discounts,CORE:Odoo,has,CORE:features  
e4933c3f-25ab-4443-9394-3690aa5f6ce7,Pricing Features Discounts,CORE:features,help set up,CORE:pricing strategy  
e4933c3f-25ab-4443-9394-3690aa5f6ce7,Pricing Features Discounts,CORE:pricing strategy,tailored to,USER:business  
1ae14148-d054-4533-81d0-f5c33fc93898,Pricing Features Discounts,CORE:discounts,apply,CORE:Point of Sale  
1ae14148-d054-4533-81d0-f5c33fc93898,Pricing Features Discounts,CORE:discounts,apply,CORE:order  
1ae14148-d054-4533-81d0-f5c33fc93898,Pricing Features Discounts,CORE:discounts,apply,CORE:products  
1ae14148-d054-4533-81d0-f5c33fc93898,Pricing Features Discounts,CORE:order,contain,CORE:products  
31a52ac7-382c-4b78-a331-d7f481956e64,Pricing Features Discount tag,CORE:product,Apply,CORE:discount  
31a52ac7-382c-4b78-a331-d7f481956e64,Pricing Features Discount tag,CORE:product,Apply,CORE:global discount  
31a52ac7-382c-4b78-a331-d7f481956e64,Pricing Features Discount tag,CORE:product,Apply,CORE:time-limited discounts  
947c6bdb-81f6-4c85-9773-c4b8ac2fae2a,Pricing Features Loyalty Program,CORE:discount tags,are used for,CORE:product
6e10fb9a-1ce3-4d10-a9a0-8d2a910d84ef,Pricing Features Loyalty Program,CORE:Loyalty Program,encourages,USER:customers  
6e10fb9a-1ce3-4d10-a9a0-8d2a910d84ef,Pricing Features Loyalty Program,CORE:point of sale,encourages,USER:customers  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:program,decide,CORE:reward  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:reward,is,CORE:discount  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:reward,is,CORE:gift  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:reward,make specific to,CORE:products  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:program,cover,CORE:range  
60284b7f-1acc-4003-bfc8-e2cd6d693d1b,Pricing Features Loyalty Program,CORE:rules,apply,CORE:situation  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,CORE:loyalty program,uses,CORE:PoS interface  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,USER:customer,receives,CORE:points  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,CORE:points,accumulate,CORE:transaction  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,CORE:button Rewards,spends,CORE:points  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,CORE:points,defined by,CORE:rules  
37f2ebc1-f534-4c51-bb94-1764928464d0,Pricing Features Pricelists,CORE:loyalty program,defines,CORE:rules  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:Pricelists,allows,CORE:product prices  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,depend on,CORE:criteria  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,are set for,CORE:POS-specific prices  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,are adjusted during,CORE:temporary discount periods  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,are offered to,USER:specific customers  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,include,CORE:discounts  
f6da082f-2160-48ca-a5fe-2f0bfc2a235a,Pricing Features Flexible tax,CORE:product prices,are based on,CORE:quantities  
5b3ac077-9a01-4a32-8086-3fdaab386715,Pricing Features Flexible tax,CORE:business,has tax,CORE:taxes  
5b3ac077-9a01-4a32-8086-3fdaab386715,Pricing Features Flexible tax,CORE:business,records transaction,CORE:transactions  
5b3ac077-9a01-4a32-8086-3fdaab386715,Pricing Features Flexible tax,CORE:business,has account,CORE:accounts  
5b3ac077-9a01-4a32-8086-3fdaab386715,Pricing Features Flexible tax,USER:customers,located in,CORE:location  
5b3ac077-9a01-4a32-8086-3fdaab386715,Pricing Features Flexible tax,USER:providers,located in,CORE:location  
8eddce25-25da-4841-ba45-8a87f641e07f,Pricing Features Cash rounding,CORE:fiscal positions, enables, CORE:rules  
8eddce25-25da-4841-ba45-8a87f641e07f,Pricing Features Cash rounding,CORE:rules, select, CORE:taxes  
8eddce25-25da-4841-ba45-8a87f641e07f,Pricing Features Cash rounding,CORE:rules, select, CORE:accounts  
8eddce25-25da-4841-ba45-8a87f641e07f,Pricing Features Cash rounding,CORE:accounts, used for, CORE:transaction  
72c714d0-bdae-42e9-ad74-479076277ad4,Pricing Features Cash rounding,CORE:Cash rounding,requires,CORE:minimum unit of account  
72c714d0-bdae-42e9-ad74-479076277ad4,Pricing Features Cash rounding,CORE:currency,is higher than,CORE:minimum unit of account  
72c714d0-bdae-42e9-ad74-479076277ad4,Pricing Features Cash rounding,CORE:coin,is higher than,CORE:minimum unit of account  
20862d8d-0b26-424d-8cf6-10ebb4b5a7ed,Pricing Features Electronic shelf labels,CORE:invoice, requires, CORE:payment  
20862d8d-0b26-424d-8cf6-10ebb4b5a7ed,Pricing Features Electronic shelf labels,USER:cash, made in, CORE:payment  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:Electronic shelf labels,display,CORE:product information  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:Electronic shelf labels,display,CORE:prices  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:Electronic shelf labels,display,CORE:barcodes  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:Electronic shelf labels,synchronize,CORE:store shelves  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:Electronic shelf labels,remove the need to print,CORE:labels  
8935ffe7-6b5a-4651-931f-810144ac2929,Payment methods Payment terminals,CORE:product information,changes,CORE:labels  
d64a1b65-3c14-469b-8051-7f8480d9446f,Reporting ,CORE:payment terminal, connects with, CORE:POS system  
d64a1b65-3c14-469b-8051-7f8480d9446f,Reporting ,CORE:POS system, allows to accept, CORE:credit cards  
d64a1b65-3c14-469b-8051-7f8480d9446f,Reporting ,CORE:POS system, allows to accept, CORE:debit cards  
d64a1b65-3c14-469b-8051-7f8480d9446f,Reporting ,CORE:payment process, is, CORE:more efficient  
3a209ccb-afd5-4bbe-932c-83fa0013ecfb,Reporting ,CORE:graph,has,CORE:pivot view
3a209ccb-afd5-4bbe-932c-83fa0013ecfb,Reporting ,CORE:pivot view,can be,CORE:filter 
3a209ccb-afd5-4bbe-932c-83fa0013ecfb,Reporting ,CORE:filter,depends on,CORE:needs
3a209ccb-afd5-4bbe-932c-83fa0013ecfb,Reporting ,CORE:group,depends on,CORE:needs
